--------- beginning of main
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.app.supervision.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.server.utils is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.chre.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.content.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.media.codec is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.internal.os is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.nfc.nci.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.app is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.security.keystore2 is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.crashrecovery.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.tradeinmode.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.hardware.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.server.telecom.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.settingslib.media.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.server.policy is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.media.audiopolicy is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.egg.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.internal.compat.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.security is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.service.autofill is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.example.android.aconfig.demo.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.server.clipboard is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.view.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.companion.virtual.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.aconfig_new_storage is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.server.feature.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.systemui is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.server.power.batterysaver is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.widget.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.media.editing.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.media.codec.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.server.powerstats is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.graphics.egl.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.media.audioserver is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.server.deviceidle is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.nfc is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.permission.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.service.voice.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.content.pm is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.server.power.hint is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.os is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.service.dreams is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.graphics.libgui.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.hardware.usb.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.provider is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.server.job is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.internal.foldables.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.internal.telephony.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.webkit is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.credentials.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.documentsui.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.server.display.feature.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.server.notification is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.appwidget.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.frameworks.sensorservice.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.printspooler.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.window.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.net.wifi.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.media.tv.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.server.usb.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.os.vibrator is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.vold.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.hardware.devicestate.feature.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.server.usage is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.server is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.wm.shell is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.view.inputmethod is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.graphics.hwui.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.server.backup is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.internal.pm.pkg.component.flags is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.view.accessibility is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: android.media.audio is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.server.am is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.server.print is mapped to system
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.settings.keyboard is mapped to system_ext
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.systemui.accessibility.accessibilitymenu is mapped to system_ext
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.server.policy.feature.flags is mapped to system_ext
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.settings.factory_reset is mapped to system_ext
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.settings.media_drm is mapped to system_ext
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.launcher3 is mapped to system_ext
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.settings.accessibility is mapped to system_ext
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.wallpaper is mapped to system_ext
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.settings.flags is mapped to system_ext
02-17 05:31:00.972 21547 21547 I AconfigPackage: com.android.permission.flags is mapped to com.android.permission
02-17 05:31:00.973 21547 21547 I AconfigPackage: android.provider.flags is mapped to com.android.configinfrastructure
02-17 05:31:00.973 21547 21547 I AconfigPackage: com.android.server.deviceconfig is mapped to com.android.configinfrastructure
02-17 05:31:00.973 21547 21547 I AconfigPackage: android.os.profiling is mapped to com.android.profiling
02-17 05:31:00.973 21547 21547 I AconfigPackage: com.android.crashrecovery.flags is mapped to com.android.crashrecovery
02-17 05:31:00.973 21547 21547 I AconfigPackage: com.android.adservices.ondevicepersonalization.flags is mapped to com.android.ondevicepersonalization
02-17 05:31:00.973 21547 21547 I AconfigPackage: android.graphics.pdf.flags is mapped to com.android.mediaprovider
02-17 05:31:00.973 21547 21547 I AconfigPackage: com.android.providers.media.flags is mapped to com.android.mediaprovider
02-17 05:31:00.973 21547 21547 I AconfigPackage: android.graphics.pdf.flags.readonly is mapped to com.android.mediaprovider
02-17 05:31:00.973 21547 21547 I AconfigPackage: android.media.swcodec.flags is mapped to com.android.media.swcodec
02-17 05:31:00.973 21547 21547 I AconfigPackage: com.android.art.flags is mapped to com.android.art
02-17 05:31:00.973 21547 21547 I AconfigPackage: com.android.art.native.flags is mapped to com.android.art
02-17 05:31:00.973 21547 21547 I AconfigPackage: com.android.libcore is mapped to com.android.art
02-17 05:31:00.973 21547 21547 I AconfigPackage: com.android.nfc.module.flags is mapped to com.android.nfcservices
02-17 05:31:00.973 21547 21547 I AconfigPackage: com.android.ipsec.flags is mapped to com.android.ipsec
02-17 05:31:00.973 21547 21547 I AconfigPackage: com.android.adbd.flags is mapped to com.android.adbd
02-17 05:31:00.974 21547 21547 I AconfigPackage: com.android.adservices.flags is mapped to com.android.adservices
